RouteRegion,OriginIATA_frq,DestinationIATA_frq,Orig_Country_frq,Dest_Country_frq,RouteIATA_frq,RouteCountry_frq,RouteRegion_frq,Orig_Region_Africa,Orig_Region_Americas,Orig_Region_Asia,Orig_Region_Europe,Orig_Region_Middle East,Dest_Region_Africa,Dest_Region_Americas,Dest_Region_Asia,Dest_Region_Europe,Dest_Region_Middle East
Africa-Africa,-10.5439,-9.1172,-10.2372,-8.8897,-10.5655,-11.2329,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Africa-Africa,-10.5439,-8.7256,-10.2372,-8.5177,-9.8876,-10.4634,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Africa-Africa,-10.5439,-7.6466,-10.2372,-7.3595,-10.1411,-10.7501,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Africa-Africa,-9.1172,-9.1172,-7.3595,-8.8897,-9.0491,-9.5228,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Africa-Africa,-9.1172,-10.4686,-7.3595,-7.0778,-10.1411,-10.7501,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Africa-Africa,-9.1172,-6.5471,-7.3595,-6.4314,-8.6493,-8.2174,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Africa-Africa,-9.1172,-10.5439,-8.8897,-10.2372,-10.5655,-11.2329,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Africa-Africa,-9.1172,-9.1172,-8.8897,-7.3595,-8.9383,-9.3445,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Africa-Africa,-9.1172,-6.5471,-8.8897,-6.4314,-10.5655,-11.2329,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Africa-Africa,-9.1172,-8.4722,-8.8897,-8.2764,-10.5655,-11.2329,-3.9773,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
